code,name,credits,description,prerequisites
ARE 135,— Agribusiness Marketing Plan Development,(2 units),"Course Description: Fundamental components required to develop a marketing plan. Appreciation of the concept of marketing plans, appropriate research required, including the use of library, Internet, survey and interview instruments, government documents, market analysis, business proposition, action planning, financial evaluation and monitoring.",Prerequisite(s): Upper division standing.
ARE 136,— Managerial Marketing,(4 units),"Course Description: Application of economic theory and econometrics to the study of marketing and consumer research. Emphasis on industry structure, history, regulatory aspects, integrated brand promotion, market segmentation, optimal product mix, message placement.",Prerequisite(s): ARE 100B C- or better; ARE 106 C- or better; ARE 100A C- or better; (STA 013 C- or better or STA 013Y C- or better); STA 103 C- or better.
ARE 138,— International Commodity & Resource Markets,(4 units),"Course Description: Basic nature and scope of international trade in agricultural commodities, agricultural inputs, and natural resources. Market dimensions and policy institutions. Case studies to illustrate import and export problems associated with different regions and commodities.",Prerequisite(s): ARE 100A C- or better; ARE 100B C- or better.
ARE 139,— Futures & Options Markets,(4 units),"Course Description: History, mechanics, and economic functions of futures and options markets; hedging; theory of inter-temporal price formation and behavior of futures and options prices; price forecasting; futures and options as policy tools.",Prerequisite(s): ARE 100A C- or better; (STA 013 C- or better or STA 013Y C- or better); STA 103 C- or better.
ARE 140,— Farm Management,(4 units),"This version has ended; see updated course, below.Course Description: Farm organization and resources; economic and technological principles in decision making; analytical techniques and management control; problems in organizing and managing the farm business.",Prerequisite(s): ECN 001A C- or better or ECN 001AV C- or better.
ARE 142,— Personal Finance,(3 units),"This version has ended; see updated course, below.Course Description: Management of income and expenditures by the household. Use of consumer credit, savings, and insurance by households. Principles of tax, retirement, and estate planning.",Prerequisite(s): ECN 001B.
ARE 143,— Investments,(4 units),"Course Description: Survey of investment institutions, sources of investment information, and portfolio theory. Analysis of the stock, bond and real estate markets from the perspective of the investor.",
ARE 144,— Real Estate Economics,(4 units),"Course Description: Economic theory, analysis, and institutions of real estate markets and related financial markets. Techniques for appraising property values. Cases drawn from the raw land, single family, multifamily, industrial and office real estate markets.",Prerequisite(s): ARE 100A C- or better.
ARE 145,— Farm & Rural Resources Appraisal,(4 units),"Course Description: Principles and procedures of the valuation process with emphasis placed on rural real estate. Includes identification of the major physical and economic determinants of value, the three primary appraisal approaches to valuation, discussion of appraisal activity and practice.",
ARE 146,"— Business, Government Regulation, & Society",(4 units),"Course Description: Variety, nature and impact of government regulation: anti-trust laws and economic and social regulation. Nature of the legislative process, promulgation of regulations, and their impact, especially as analyzed by economists.",Prerequisite(s): ARE 100A C- or better; ARE 100B C- or better.
ARE 147,— Resource & Environment Policy Analysis,(3 units),"This version has ended; see updated course, below.Course Description: Natural resource use problems with emphasis on past and current policies and institutions affecting resource use; determinants, principles, and patterns of natural resource use; property rights; conservation; private and public resource use problems; and public issues.",Prerequisite(s): ECN 001A or ECN 001AV.
